x,	 p,	 error
-0.1375,	0.305932,	0.00119857
-0.1125,	0.302928,	0.00128445
-0.0875,	0.29944,	0.00119964
-0.0625,	0.298892,	0.00101397
-0.0375,	0.296892,	0.000983169
-0.0125,	0.295268,	0.00111727
0.0125,	0.295544,	0.00102609
0.0375,	0.296868,	0.00113563
0.0625,	0.298756,	0.00106088
0.0875,	0.30028,	0.00119771
0.1125,	0.302564,	0.00117027
0.1375,	0.304772,	0.00102784
0.1625,	0.310088,	0.00116171
0.1875,	0.31346,	0.00131071
0.2125,	0.316596,	0.00118017
0.2375,	0.32224,	0.00102965
0.2625,	0.330564,	0.00126809
0.2875,	0.335564,	0.00131513
0.3125,	0.341792,	0.00129061
0.3375,	0.348756,	0.00116211
0.3625,	0.352404,	0.00131522
0.3875,	0.359396,	0.0013729
0.4125,	0.3688,	0.00143927
0.4375,	0.37386,	0.00122522
0.4625,	0.380292,	0.00133252
0.4875,	0.384936,	0.00123169
0.5125,	0.390208,	0.00128781
0.5375,	0.397892,	0.00134805
0.5625,	0.402128,	0.00143533
0.5875,	0.404504,	0.00157796
0.6125,	0.409608,	0.00153615
0.6375,	0.412644,	0.00136513
0.6625,	0.417536,	0.00160589
0.6875,	0.41566,	0.00150685
0.7125,	0.418144,	0.001574
0.7375,	0.418792,	0.00170092
0.7625,	0.412328,	0.00144123
0.7875,	0.413424,	0.00158833
0.8125,	0.407512,	0.0014918
0.8375,	0.404792,	0.00159084
0.8625,	0.3987,	0.00150113
0.8875,	0.39422,	0.00144619
0.9125,	0.384904,	0.00143543
0.9375,	0.376404,	0.00155424
0.9625,	0.367616,	0.00157711
0.9875,	0.355792,	0.00151444
1.0125,	0.35034,	0.0013736
1.0375,	0.335756,	0.00145932
1.0625,	0.32566,	0.00165795
1.0875,	0.311268,	0.00144816
1.1125,	0.299128,	0.00132576
1.1375,	0.282356,	0.00130716
1.1625,	0.27162,	0.0012318
1.1875,	0.257728,	0.00121826
1.2125,	0.244668,	0.00112104
1.2375,	0.228544,	0.00120773
1.2625,	0.2162,	0.00117351
1.2875,	0.202188,	0.00104955
1.3125,	0.189332,	0.00106633
1.3375,	0.17394,	0.00102583
1.3625,	0.16446,	0.00091556
1.3875,	0.15072,	0.00095475
1.4125,	0.13928,	0.000850031
1.4375,	0.127856,	0.000836279
1.4625,	0.1162,	0.000861035
1.4875,	0.107076,	0.000776247
1.5125,	0.097664,	0.000699985
1.5375,	0.08836,	0.000658778
1.5625,	0.07974,	0.00065464
1.5875,	0.072772,	0.000672826
1.6125,	0.064436,	0.000578709
1.6375,	0.057812,	0.000528324
1.6625,	0.051956,	0.000563851
1.6875,	0.045836,	0.000452373
1.7125,	0.04112,	0.000491413
1.7375,	0.03596,	0.00044132
1.7625,	0.03158,	0.000383809
1.7875,	0.028404,	0.000378386
1.8125,	0.02396,	0.000316777
1.8375,	0.021596,	0.000294296
