N,	Average,	Error
1,	-0.440478,	0
2,	-0.442373,	0.00189531
3,	-0.44343,	0.00152121
4,	-0.442822,	0.00123544
5,	-0.443452,	0.00114531
6,	-0.443838,	0.00101199
7,	-0.444328,	0.000985654
8,	-0.445129,	0.00117023
9,	-0.445097,	0.00103254
10,	-0.444856,	0.000954502
11,	-0.444901,	0.000864546
12,	-0.444707,	0.000812726
13,	-0.444498,	0.000776149
14,	-0.444597,	0.000725297
15,	-0.444225,	0.000770459
16,	-0.444272,	0.000722182
17,	-0.444327,	0.000680597
18,	-0.444323,	0.000641682
19,	-0.444202,	0.000618955
20,	-0.444232,	0.000587952
21,	-0.444264,	0.000560156
22,	-0.444183,	0.000540164
23,	-0.444088,	0.000524769
24,	-0.44406,	0.000503213
25,	-0.444072,	0.000482813
26,	-0.444003,	0.000468917
27,	-0.443931,	0.000456992
28,	-0.443991,	0.0004444
29,	-0.444026,	0.000430231
30,	-0.444075,	0.000418551
31,	-0.444093,	0.00040521
32,	-0.444099,	0.000392391
33,	-0.444102,	0.000380325
34,	-0.44413,	0.000370043
35,	-0.444086,	0.000362029
36,	-0.444001,	0.000361947
37,	-0.444031,	0.000353368
38,	-0.444062,	0.000345334
39,	-0.443947,	0.000355612
40,	-0.443871,	0.000354821
41,	-0.4439,	0.000347268
42,	-0.443888,	0.000339112
43,	-0.443881,	0.000331212
44,	-0.44393,	0.000327325
45,	-0.443876,	0.000324515
46,	-0.444021,	0.000348984
47,	-0.444032,	0.000341672
48,	-0.443954,	0.000343547
49,	-0.444049,	0.000349612
50,	-0.444058,	0.000342662
51,	-0.444001,	0.000340632
52,	-0.444054,	0.000338169
53,	-0.444032,	0.000332444
54,	-0.444006,	0.000327252
55,	-0.444085,	0.000330748
56,	-0.444084,	0.000324788
57,	-0.444072,	0.000319268
58,	-0.44405,	0.000314527
59,	-0.444054,	0.000309177
60,	-0.444141,	0.000316298
61,	-0.444079,	0.000317269
62,	-0.444022,	0.000317209
63,	-0.444043,	0.000312852
64,	-0.444103,	0.000313741
65,	-0.444137,	0.000310709
66,	-0.444106,	0.000307524
67,	-0.444069,	0.000305199
68,	-0.443997,	0.000309024
69,	-0.444017,	0.000305163
70,	-0.44402,	0.000300782
71,	-0.444036,	0.000296941
72,	-0.443989,	0.000296529
73,	-0.444035,	0.000296127
74,	-0.444067,	0.000293772
75,	-0.444001,	0.000297201
76,	-0.443975,	0.000294373
77,	-0.443974,	0.000290527
78,	-0.443947,	0.000288061
79,	-0.443939,	0.000284516
80,	-0.443922,	0.00028143
81,	-0.443842,	0.0002891
82,	-0.44383,	0.000285821
83,	-0.443799,	0.000284016
84,	-0.44383,	0.000282314
85,	-0.443817,	0.000279278
86,	-0.443897,	0.000287395
87,	-0.443932,	0.000286239
88,	-0.443922,	0.000283163
89,	-0.443857,	0.000287431
90,	-0.44387,	0.00028452
91,	-0.443898,	0.000282816
92,	-0.443897,	0.000279728
93,	-0.443864,	0.000278739
94,	-0.443906,	0.000279071
95,	-0.443937,	0.000277851
96,	-0.443888,	0.000279425
97,	-0.443896,	0.000276659
98,	-0.443891,	0.000273862
99,	-0.443898,	0.000271155
100,	-0.443869,	0.000269972
