Beta,	 T,	 Mu,	 Sigma,	 Energy,	 EnergyError,	SigmaMuAcceptance
0,	inf,	1.34441,	0.882918,	2.23408,	0.0138823,	1
10,	0.1,	0.701338,	0.536524,	-0.359577,	0.000361691,	0.74
20,	0.05,	0.793884,	0.666572,	-0.420869,	0.00267951,	0.85
30,	0.0333333,	0.737563,	0.711449,	-0.395424,	0.000774778,	0.85
40,	0.025,	0.892636,	0.648075,	-0.400632,	0.000440512,	0.69
50,	0.02,	0.847952,	0.652335,	-0.42673,	0.000201314,	0.59
60,	0.0166667,	0.793372,	0.653365,	-0.438059,	0.000366123,	0.67
70,	0.0142857,	0.732286,	0.664438,	-0.421084,	0.000443836,	0.72
80,	0.0125,	0.82533,	0.581094,	-0.432557,	0.000317292,	0.61
90,	0.0111111,	0.752561,	0.647442,	-0.434543,	0.000409828,	0.57
100,	0.01,	0.743925,	0.583384,	-0.422852,	0.00028989,	0.6
110,	0.00909091,	0.794907,	0.602699,	-0.43752,	0.000410832,	0.49
120,	0.00833333,	0.765234,	0.628425,	-0.438077,	0.000202506,	0.53
130,	0.00769231,	0.782512,	0.676017,	-0.42847,	0.000486047,	0.61
140,	0.00714286,	0.774739,	0.579472,	-0.428782,	0.000349865,	0.45
150,	0.00666667,	0.751734,	0.644399,	-0.436622,	0.000378213,	0.51
160,	0.00625,	0.771335,	0.605173,	-0.44118,	0.00012253,	0.4
170,	0.00588235,	0.824288,	0.615082,	-0.44118,	0.00022948,	0.37
180,	0.00555556,	0.861489,	0.609625,	-0.430961,	0.000206732,	0.42
190,	0.00526316,	0.782209,	0.609453,	-0.444053,	0.000243793,	0.39
200,	0.005,	0.796664,	0.629639,	-0.442404,	0.000375649,	0.5
210,	0.0047619,	0.761359,	0.613392,	-0.437588,	0.000341976,	0.43
220,	0.00454545,	0.838226,	0.639145,	-0.442728,	0.000687162,	0.48
230,	0.00434783,	0.80475,	0.636203,	-0.442153,	0.000431639,	0.29
240,	0.00416667,	0.814859,	0.622395,	-0.445431,	0.000197118,	0.4
250,	0.004,	0.768798,	0.600625,	-0.43874,	0.000177872,	0.39
260,	0.00384615,	0.776795,	0.629867,	-0.442099,	0.000350072,	0.28
270,	0.0037037,	0.811604,	0.591678,	-0.435884,	0.000473872,	0.26
280,	0.00357143,	0.814953,	0.597098,	-0.441192,	0.000427431,	0.33
290,	0.00344828,	0.771192,	0.622768,	-0.439795,	0.000240053,	0.33
300,	0.00333333,	0.814824,	0.638333,	-0.444177,	0.00044895,	0.25
310,	0.00322581,	0.817311,	0.616699,	-0.44591,	0.000213207,	0.32
