N,	Average,	Error
1,	5.11034,	0
2,	5.11803,	0.00768473
3,	5.0843,	0.034012
4,	5.06558,	0.0304815
5,	5.08455,	0.0302882
6,	5.086,	0.0247726
7,	5.05844,	0.0346065
8,	5.03747,	0.0365799
9,	5.03182,	0.0327517
10,	5.03329,	0.029331
11,	5.02059,	0.0294161
12,	5.01465,	0.0275005
13,	5.01191,	0.0254453
14,	4.99984,	0.0264691
15,	4.99637,	0.0248849
16,	4.99633,	0.0232778
17,	4.99936,	0.0220744
18,	5.00705,	0.0221856
19,	5.00432,	0.0211618
20,	4.99661,	0.021505
21,	4.9957,	0.0204757
22,	4.99915,	0.0198265
23,	5.00191,	0.0191443
24,	5.00174,	0.01833
25,	5.00368,	0.0176882
26,	5.00576,	0.0171211
27,	4.99907,	0.0177802
28,	4.99865,	0.0171385
29,	4.99535,	0.0168632
30,	4.9957,	0.0162951
31,	4.99357,	0.0159038
32,	4.99054,	0.0156946
33,	4.98671,	0.0156858
34,	4.98623,	0.015225
35,	4.98584,	0.0147889
36,	4.98519,	0.0143867
37,	4.97869,	0.0154302
38,	4.97612,	0.015237
39,	4.97747,	0.0149028
40,	4.98079,	0.0148986
41,	4.98141,	0.0145439
42,	4.97862,	0.0144637
43,	4.97593,	0.0143787
44,	4.97483,	0.0140912
45,	4.97941,	0.0145183
46,	4.97969,	0.014202
47,	4.98179,	0.014054
48,	4.98039,	0.0138292
49,	4.98082,	0.0135507
50,	4.98167,	0.013304
51,	4.98448,	0.0133408
52,	4.98383,	0.0130978
53,	4.98449,	0.0128652
54,	4.98573,	0.0126853
55,	4.98607,	0.012457
56,	4.98555,	0.0122432
57,	4.98332,	0.0122324
58,	4.9796,	0.0125826
59,	4.97759,	0.0125293
60,	4.97663,	0.0123559
61,	4.97824,	0.0122575
62,	4.98072,	0.0123095
63,	4.98068,	0.0121126
64,	4.98363,	0.0122822
65,	4.98602,	0.0123263
66,	4.98531,	0.0121591
67,	4.98466,	0.011994
68,	4.9852,	0.0118287
69,	4.98308,	0.0118469
70,	4.98316,	0.0116767
71,	4.98034,	0.0118525
72,	4.98152,	0.0117468
73,	4.98115,	0.0115908
74,	4.98315,	0.0116063
75,	4.98257,	0.0114652
76,	4.98215,	0.0113211
77,	4.98341,	0.0112446
78,	4.98303,	0.0111063
79,	4.98257,	0.0109743
80,	4.98245,	0.0108369
81,	4.98186,	0.0107187
82,	4.98198,	0.0105878
83,	4.98053,	0.0105591
84,	4.9805,	0.0104327
85,	4.98139,	0.0103481
86,	4.98112,	0.0102306
87,	4.98193,	0.0101442
88,	4.98314,	0.0101015
89,	4.98329,	0.00998843
90,	4.98498,	0.0100215
91,	4.98427,	0.00993618
92,	4.98637,	0.010049
93,	4.98684,	0.00995149
94,	4.98768,	0.00988065
95,	4.98718,	0.00978869
96,	4.98743,	0.00968935
97,	4.98682,	0.00960841
98,	4.98693,	0.0095105
99,	4.98646,	0.00942543
100,	4.98597,	0.00934357
