N,	Average,	Error
1,	-0.128475,	0
2,	-0.12219,	0.00628507
3,	-0.108938,	0.01374
4,	-0.108329,	0.00973467
5,	-0.106432,	0.00777538
6,	-0.103209,	0.00711986
7,	-0.1055,	0.00643857
8,	-0.105808,	0.00558451
9,	-0.107182,	0.00511302
10,	-0.108049,	0.00465467
11,	-0.103498,	0.00619942
12,	-0.102352,	0.00577424
13,	-0.104781,	0.00584069
14,	-0.103445,	0.00557004
15,	-0.106133,	0.00584048
16,	-0.101098,	0.00742955
17,	-0.101227,	0.00698004
18,	-0.100642,	0.0066068
19,	-0.100307,	0.00625835
20,	-0.101513,	0.00605836
21,	-0.10175,	0.00576754
22,	-0.0999664,	0.00578131
23,	-0.0994665,	0.00554681
24,	-0.0995967,	0.00531226
25,	-0.0996169,	0.00509538
26,	-0.098638,	0.00499239
27,	-0.0973699,	0.0049685
28,	-0.0958979,	0.00500893
29,	-0.094737,	0.0049706
30,	-0.0959195,	0.00494551
31,	-0.0959143,	0.00478332
32,	-0.0948477,	0.00475267
33,	-0.0951064,	0.00461365
34,	-0.0942882,	0.00455007
35,	-0.0948595,	0.00445494
36,	-0.0935991,	0.00450915
37,	-0.0928741,	0.0044451
38,	-0.0927494,	0.00432834
39,	-0.0925471,	0.00422075
40,	-0.0924445,	0.00411516
41,	-0.0923061,	0.00401592
42,	-0.0925886,	0.0039293
43,	-0.091759,	0.00392549
44,	-0.0905212,	0.00403003
45,	-0.0900153,	0.00397181
46,	-0.0901345,	0.00388634
47,	-0.0903552,	0.00380915
48,	-0.0895702,	0.00381069
49,	-0.0894522,	0.00373397
50,	-0.0896948,	0.00366657
51,	-0.0907743,	0.00375255
52,	-0.0917299,	0.00380174
53,	-0.0922431,	0.00376447
54,	-0.0920593,	0.00369867
55,	-0.091988,	0.0036315
56,	-0.0912111,	0.00364972
57,	-0.0914915,	0.00359607
58,	-0.0904886,	0.0036731
59,	-0.0913386,	0.00370901
60,	-0.0903214,	0.0037859
61,	-0.0911229,	0.00380861
62,	-0.091414,	0.00375797
63,	-0.0918639,	0.0037251
64,	-0.0916092,	0.00367527
65,	-0.0914838,	0.00362046
66,	-0.0914246,	0.00356568
67,	-0.09157,	0.00351506
68,	-0.090965,	0.00351542
69,	-0.0903989,	0.00351005
70,	-0.0906562,	0.00346909
71,	-0.0906214,	0.00342006
72,	-0.090688,	0.00337289
73,	-0.0907192,	0.00332651
74,	-0.0901368,	0.00333252
75,	-0.0897085,	0.00331557
76,	-0.0893794,	0.00328816
77,	-0.0894985,	0.00324736
78,	-0.0896936,	0.00321139
79,	-0.0895084,	0.00317588
80,	-0.0897176,	0.0031429
81,	-0.0893008,	0.00313171
82,	-0.0894231,	0.0030957
83,	-0.089063,	0.00307931
84,	-0.0886264,	0.00307359
85,	-0.0887172,	0.00303857
86,	-0.0885939,	0.00300557
87,	-0.0883143,	0.00298395
88,	-0.088426,	0.00295196
89,	-0.0885347,	0.00292062
90,	-0.088679,	0.00289159
91,	-0.0891295,	0.00289491
92,	-0.0892305,	0.00286505
93,	-0.0892986,	0.00283489
94,	-0.0892119,	0.00280591
95,	-0.089313,	0.00277806
96,	-0.0893037,	0.00274898
97,	-0.0896842,	0.00274698
98,	-0.0897405,	0.00271939
99,	-0.0897082,	0.00269197
100,	-0.0898038,	0.00266663
