N,	Average,	Error
1,	4.93791,	0
2,	4.95749,	0.0195708
3,	4.98678,	0.0314002
4,	4.95868,	0.0358145
5,	4.96168,	0.027904
6,	4.95582,	0.0235255
7,	4.95374,	0.0199915
8,	4.9519,	0.0174101
9,	4.92382,	0.0320048
10,	4.92263,	0.028651
11,	4.92582,	0.0261124
12,	4.93059,	0.024308
13,	4.92457,	0.0231557
14,	4.92728,	0.0216085
15,	4.93519,	0.0216185
16,	4.94103,	0.0210467
17,	4.94089,	0.0197704
18,	4.95498,	0.0233665
19,	4.95803,	0.0223112
20,	4.95818,	0.0211669
21,	4.9663,	0.0217065
22,	4.97123,	0.0212765
23,	4.97296,	0.0204042
24,	4.96626,	0.0206543
25,	4.97645,	0.0222771
26,	4.97914,	0.0215713
27,	4.98057,	0.0208067
28,	4.98365,	0.0202845
29,	4.98733,	0.0199164
30,	4.9875,	0.0192418
31,	4.99122,	0.018978
32,	4.99458,	0.01868
33,	4.99282,	0.0181904
34,	4.98904,	0.0180472
35,	4.98608,	0.0177719
36,	4.99096,	0.017947
37,	4.99018,	0.0174727
38,	4.99136,	0.0170475
39,	4.9964,	0.017352
40,	4.99839,	0.0170293
41,	4.99931,	0.0166344
42,	5.00094,	0.016315
43,	5.00137,	0.0159369
44,	4.99916,	0.015727
45,	4.99887,	0.0153762
46,	4.99647,	0.0152292
47,	4.99753,	0.0149399
48,	4.99549,	0.0147676
49,	4.99419,	0.0145211
50,	4.9935,	0.0142446
51,	4.99638,	0.0142555
52,	4.99685,	0.0139869
53,	4.99849,	0.0138175
54,	5.00025,	0.0136732
55,	4.99985,	0.0134281
56,	5.00013,	0.013189
57,	5.00059,	0.0129637
58,	4.99796,	0.0130057
59,	4.99957,	0.012884
60,	4.99836,	0.0127247
61,	4.99941,	0.0125581
62,	5.0015,	0.0125297
63,	5.00288,	0.0124056
64,	5.00183,	0.0122549
65,	5.00367,	0.0122041
66,	5.00382,	0.0120187
67,	5.00518,	0.0119158
68,	5.00351,	0.0118576
69,	5.00533,	0.0118262
70,	5.00735,	0.0118297
71,	5.00925,	0.0118145
72,	5.00691,	0.0118818
73,	5.00647,	0.0117262
74,	5.00658,	0.0115671
75,	5.00618,	0.0114188
76,	5.00842,	0.0114888
77,	5.00835,	0.0113388
78,	5.00742,	0.0112307
79,	5.00922,	0.0112329
80,	5.01062,	0.0111788
81,	5.01296,	0.0112855
82,	5.01079,	0.0113569
83,	5.00848,	0.0114534
84,	5.00864,	0.0113174
85,	5.00949,	0.0112151
86,	5.00861,	0.0111183
87,	5.00981,	0.0110553
88,	5.01012,	0.0109331
89,	5.01017,	0.0108097
90,	5.0109,	0.0107143
91,	5.0091,	0.0107488
92,	5.00698,	0.01084
93,	5.00753,	0.010737
94,	5.00704,	0.0106337
95,	5.00753,	0.0105327
96,	5.00655,	0.0104682
97,	5.0061,	0.0103695
98,	5.00442,	0.0104003
99,	5.0049,	0.010306
100,	5.00485,	0.0102025
